"","part_id","task","domain","type","modality","mean_rt","upper_bound","lower_bound","rt_slope"
"119","blast_a_011","LSL","visual","structured","linguistic",0.362,0.291955989055,0.433712600223,-1e-04
"120","blast_a_021","LSL","visual","structured","linguistic",0.426,0.166810371011,0.866911703139,-0.001
"121","blast_a_012","LSL","visual","structured","linguistic",0.498,0.380222410632,0.640141896095,-7e-04
"122","blast_a_013","LSL","visual","structured","linguistic",0.35,0.0337491726677,0.9752171578,6e-04
"123","blast_a_014","LSL","visual","structured","linguistic",0.397,0.0337172808395,0.958461160728,-8e-04
"124","blast_a_015","LSL","visual","structured","linguistic",0.239,0.0587527893604,0.733630591292,0
"125","blast_a_017","LSL","visual","structured","linguistic",0.354,0.0337495919875,0.641951728229,-0.0018
"126","blast_a_018","LSL","visual","structured","linguistic",0.423,0.250397748385,0.775357460323,0
"127","blast_a_020","LSL","visual","structured","linguistic",0.461,0.333665906266,0.933631992038,1e-04
"128","blast_a_023","LSL","visual","structured","linguistic",0.471,0.380095632801,0.789991730875,4e-04
"129","blast_a_025","LSL","visual","structured","linguistic",0.489,0.380181936429,0.909889898734,-2e-04
"130","blast_a_001","VSL","visual","structured","non-linguistic",0.538,0.383690279796,0.925237501262,6e-04
"131","blast_a_002","VSL","visual","structured","non-linguistic",0.478,0.350448518133,0.775331584808,1e-04
"132","blast_a_004","VSL","visual","structured","non-linguistic",0.437,0.333745691487,0.533649616006,-4e-04
"133","blast_a_005","VSL","visual","structured","non-linguistic",0.48,0.375360489674,0.650231813746,0
"134","blast_a_006","VSL","visual","structured","non-linguistic",0.442,0.350495942215,0.583672542645,0
"135","blast_a_007","VSL","visual","structured","non-linguistic",0.414,0.275341748078,0.575308573038,-2e-04
"136","blast_a_008","VSL","visual","structured","non-linguistic",0.34,0.183711301603,0.475295270177,-8e-04
"137","blast_a_010","VSL","visual","structured","non-linguistic",0.478,0.225133192313,0.733641241333,2e-04
"138","blast_a_011","VSL","visual","structured","non-linguistic",0.421,0.283689771947,0.750280837058,-6e-04
"139","blast_a_021","VSL","visual","structured","non-linguistic",0.42,0.350360656856,0.558624396246,0
"140","blast_a_012","VSL","visual","structured","non-linguistic",0.511,0.420188578924,0.640161603886,0
"141","blast_a_013","VSL","visual","structured","non-linguistic",0.37,0.250311633165,0.875239165092,-0.001
"142","blast_a_014","VSL","visual","structured","non-linguistic",0.49,0.367088524439,0.833600758097,-3e-04
"143","blast_a_015","VSL","visual","structured","non-linguistic",0.463,0.408455428755,0.558401540487,0
"144","blast_a_017","VSL","visual","structured","non-linguistic",0.432,0.0670742347329,0.791981392561,-0.0012
"145","blast_a_018","VSL","visual","structured","non-linguistic",0.414,0.37535910264,0.46702291236,1e-04
"146","blast_a_020","VSL","visual","structured","non-linguistic",0.488,0.300340456142,0.600239124044,1e-04
"147","blast_a_023","VSL","visual","structured","non-linguistic",0.495,0.340150092422,0.750017860325,-2e-04
"148","blast_a_025","VSL","visual","structured","non-linguistic",0.466,0.390164380007,0.589874428062,-1e-04
